"ID","Requisito","Estado","Maximo","Obtenido sugerido","Evidencia","Bloqueo o recomendacion"
"R01","Login funcional y seguro","CUMPLE","2","2","app/Controllers/AuthController.php; app/Core/Auth.php; app/Core/Security/PasswordHasher.php; tests/Phase1SecurityTest.php","Probar login por navegador en entorno con MySQL real."
"R02","Usuarios administrativos/operativos, baja logica, roles y RSA","PARCIAL","5","4","app/Controllers/UsersController.php; app/Models/User.php; app/Core/Authorization.php; app/Core/Security/RsaKeyManagementService.php","CRUD y RSA tienen implementacion; falta certificacion por navegador/base real."
"R03","Contratos/interfaces para servicios criptograficos","CUMPLE","5","5","app/Core/Contracts/*; app/Core/Security/*; tests/Phase2ACryptoTest.php; tests/Phase2BSignatureTest.php","Mantener las interfaces como punto de extension."
"R04","CRUD de inventario con costo, nombre, marca, serie y fecha","PARCIAL","3","2.5","app/Controllers/InventoryController.php; app/Models/InventoryItem.php; database/install/fresh_install.sql","Falta prueba dinamica con MySQL accesible."
"R05","Imagenes de equipo, principal, thumbnail y galeria","PARCIAL","5","4","app/Core/InventoryImagePolicy.php; app/Views/inventory/detail.php; tests/Phase7AImagesLocationTest.php","Validar subida real de minimo 2 imagenes por navegador."
"R06","Depreciacion y busqueda/reporte","CUMPLE","3","3","app/Core/DepreciationCalculator.php; app/Core/ReportService.php; tests/Phase6CReportsExportTest.php","Revisar datos reales de vida util antes de exponer reporte final."
"R07","CRUD categorias y Excel dinamico por categoria","PARCIAL","2","1.7","app/Controllers/CategoriesController.php; app/Controllers/ReportsController.php; app/Core/ExcelExporter.php","Falta exportacion real desde navegador."
"R08","CRUD colaboradores con datos completos y foto","PARCIAL","3","2.5","app/Controllers/CollaboratorsController.php; app/Models/Collaborator.php","Falta prueba dinamica de duplicados/foto."
"R09","Ubicacion del colaborador e historial/cambio controlado","PARCIAL","5","4","database/install/fresh_install.sql; app/Models/Collaborator.php; docs/IMAGENES_UBICACIONES.md","Falta certificar flujo en base real."
"R10","Daniados/descarte con observacion y opinion tecnica","PARCIAL","5","4","app/Controllers/InventoryController.php; app/Core/InventoryStatus.php; database/install/fresh_install.sql","Falta prueba completa en navegador."
"R11","Donacion con responsable/beneficiario y salida controlada","PARCIAL","2","1.5","database/tools/verify_donation_retirement_real_db.php; database/install/fresh_install.sql","Herramienta existe, pero en esta sesion no se ejecuto contra MySQL real."
"R12","Equipos en inventario sin asignacion","CUMPLE","0","0","app/Core/ReportService.php; database/install/fresh_install.sql","Requisito sin puntaje explicito en hoja; se cubre dentro de inventario/reportes."
"R13","Licencias en inventario/asignadas/no asignadas con URL","PARCIAL","2","1.7","app/Models/LicenseAssignment.php; app/Core/LicenseKeyProtector.php; tests/Phase5ALicensePortalTest.php","Falta validar asignacion real por navegador."
"R14","Modulo de necesidades/solicitudes","PARCIAL","3","2.5","app/Controllers/NeedsController.php; app/Models/NeedRequest.php; tests/Phase6ANeedWorkflowTest.php","Falta prueba dinamica con usuario colaborador."
"R15","QR con informacion autorizada del activo","PARCIAL","2","1.5","app/Models/InventoryQr.php; app/Core/QrToken.php; app/Core/QrPublicPayload.php; tests/Phase5BQrSecurityTest.php","Falta escaneo/consulta real desde navegador."
"R16","Pagina publica sobre CMDB, OWASP, audit trail e interfaces","CUMPLE","3","3","app/Controllers/HomeController.php; app/Views/home/index.php; README.md","Mantener texto alineado con lo demostrado."
"R17","Portal del colaborador solo con sus equipos","PARCIAL","3","2.5","app/Controllers/PortalController.php; app/Core/PortalAccessPolicy.php; app/Views/portal/index.php","Falta prueba IDOR real cambiando IDs."
"R18","Solicitudes con estados y presupuesto anual/quinquenal","CUMPLE","2","2","app/Core/NeedStatus.php; app/Core/BudgetProjection.php; tests/Phase6ANeedWorkflowTest.php; tests/Phase6BBudgetProjectionTest.php","Validar datos reales con el usuario final."
"R19","OWASP, DRY y SOLID con evidencia en codigo","PARCIAL","3","2.5","app/Core/Controller.php; app/Core/Database.php; app/Core/Contracts/*; docs/ARQUITECTURA_SOLID.md","Seguir reduciendo responsabilidades grandes en controladores."
"R20","Control de errores en todo el proyecto","CUMPLE","2","2","app/Core/ErrorHandler.php; app/Core/WebErrorRenderer.php; app/Core/Exceptions/*","Probar errores 403/404/419/500 en navegador."
"R21","Devolucion, recepcion, revision tecnica y reubicacion","PARCIAL","5","4","app/Controllers/AssignmentsController.php; app/Models/ReturnReview.php; database/tools/verify_return_flow_real_db.php","La hoja oficial trae 5 puntos obtenidos; en esta sesion queda pendiente navegador/MySQL."
